gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,symbol,entrez,shrunkLFC,class
ENSG00000128805,32.0983822,1.079930459,0.341740899,3.160085497,0.001577228,0.048031079,2.017914586,ARHGAP22,58504,0.382175163,Up*
ENSG00000129596,1957.322745,-0.552452515,0.161624337,-3.41812702,0.000630537,0.077567452,0.409614407,CDO1,1036,-0.35597025,Down*
ENSG00000129824,1201.529522,-4.630226611,0.498332181,-9.291446133,1.52206E-20,4.68103E-17,0.409614407,RPS4Y1,6192,-4.437578354,Down*
ENSG00000130649,115.0223363,-0.980507406,0.304675102,-3.218206539,0.001289949,0.039387674,2.154407114,CYP2E1,1571,-0.399791732,Down*
ENSG00000130707,221.8658662,0.562262016,0.189089096,2.973529555,0.002943961,0.071133342,2.154407114,ASS1,445,0.237046318,Up*
ENSG00000130713,453.1674677,-0.317232688,0.088554727,-3.582334882,0.000340537,0.024442688,1.063691227,EXOSC2,23404,-0.232086216,Down*
ENSG00000131002,959.9183278,-4.488312005,0.513107163,-8.747318947,2.18482E-18,4.67005E-15,0.453350343,TXLNGY,246126,-4.287168194,Down*
ENSG00000131725,738.3593465,0.3737195,0.084743712,4.40999679,1.03372E-05,0.001364,1.063691227,WDR44,54521,0.329276731,Up*
ENSG00000132436,363.1206896,-0.588102731,0.180810846,-3.252585475,0.001143602,0.067204687,0.902601561,FIGNL1,63979,-0.326325883,Down*
ENSG00000132740,308.2015874,0.398473387,0.119115209,3.345277155,0.000822004,0.062194136,0.728656052,IGHMBP2,3508,0.256075554,Up*
ENSG00000132906,279.4883364,0.389608636,0.122926797,3.169436168,0.00152735,0.082334429,0.890250356,CASP9,842,0.221239926,Up*
ENSG00000132975,117.9623662,-1.047122036,0.311492172,-3.36163195,0.000774833,0.026558117,2.187691391,GPR12,2835,-0.488664742,Down*
ENSG00000133115,105.2458545,-1.93152669,0.604062739,-3.197559734,0.001385957,0.043079025,2.011375801,STOML3,161003,-0.569907425,Down*
ENSG00000133124,160.1162868,1.317194667,0.454879913,2.895697587,0.003783168,0.087433419,2.011375801,IRS4,8471,0.269311372,Up*
ENSG00000133433,33.75341176,1.38617732,0.345048904,4.017335815,5.88598E-05,0.002971377,2.43456659,GSTT2B,653689,1.02598345,Up*
ENSG00000133636,238.8301531,-0.915283215,0.274012147,-3.340301608,0.000836874,0.028264041,2.187691391,NTS,4922,-0.449072184,Down*
ENSG00000133710,658.0721882,-0.98174345,0.182580339,-5.377049129,7.57165E-08,2.5542E-05,0.69801811,SPINK5,11005,-0.877317913,Down*
ENSG00000134184,10.04121057,2.757739167,0.812448607,3.394355217,0.000687904,0.060681506,0.63291661,GSTM1,2944,1.041996556,Up*
ENSG00000134330,296.4033352,-0.553542752,0.16539398,-3.346813173,0.000817463,0.055720667,0.845833024,IAH1,285148,-0.33839235,Down*
ENSG00000134444,941.4810045,0.520814018,0.132610716,3.927390123,8.58726E-05,0.009074629,0.920535377,RELCH,57614,0.425315401,Up*
ENSG00000134590,1640.21713,0.438237311,0.124313305,3.525264748,0.00042306,0.050984125,0.498961552,RTL8C,8933,0.310314169,Up*
ENSG00000134755,292.8048852,-0.908818044,0.189669411,-4.79158995,1.65465E-06,0.000334487,0.890250356,DSC2,1824,-0.787973984,Down*
ENSG00000136235,34.1115338,1.36696726,0.453957386,3.011223746,0.00260197,0.065158648,2.154407114,GPNMB,10457,0.331686861,Up*
ENSG00000136842,136.0975271,1.499306783,0.405916152,3.693636666,0.00022107,0.010260968,2.017914586,TMOD1,7111,0.894469961,Up*
ENSG00000136931,178.8959815,1.258871502,0.404943099,3.108761469,0.001878733,0.052064208,2.154407114,NR5A1,2516,0.374805784,Up*
ENSG00000137691,83.01012035,-0.86899675,0.307256332,-2.828246841,0.00468037,0.095402569,2.187691391,CFAP300,85016,-0.223552422,Down*
ENSG00000138134,114.9393236,0.629178375,0.217183898,2.896984446,0.003767684,0.087433419,2.011375801,STAMBPL1,57559,0.227263288,Up*
ENSG00000138587,122.6946486,-1.050555929,0.36907279,-2.846473534,0.00442064,0.09263412,2.154407114,MNS1,55329,-0.235706847,Down*
ENSG00000138640,543.4946546,0.552126104,0.136492942,4.04508903,5.23032E-05,0.006108703,0.902601561,FAM13A,10144,0.461667836,Up*
ENSG00000138778,659.2558028,-0.75284206,0.230792599,-3.261985271,0.001106349,0.058756517,1.063691227,CENPE,1062,-0.378608945,Down*
ENSG00000138964,32.11677994,1.811872919,0.597503025,3.032407944,0.002426111,0.061543627,2.187691391,PARVG,64098,0.404801502,Up*
ENSG00000139304,5.613784662,-3.521592982,0.904937561,-3.891531452,9.96135E-05,0.017587395,0.469415415,PTPRQ,374462,-2.306487157,Down*
ENSG00000139800,144.2628699,-1.796400339,0.400079885,-4.490104122,7.11884E-06,0.000577165,2.017914586,ZIC5,85416,-1.58817446,Down*
ENSG00000139835,46.45903117,0.609282709,0.207217001,2.940312361,0.003278815,0.070252619,2.43456659,GRTP1,79774,0.236951104,Up*
