Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
BEX1,55859,-0.69,4.50E-04,-1.36,9.95E-04
COL18A1,80781,-0.69,1.19E-04,-1.69,1.66E-03
AR,367,-0.69,3.20E-04,-2.12,1.08E-03
CTNNA1,1495,-0.69,4.90E-04,-1.39,2.87E-03
AC007743.1,100129434,-0.69,1.00E-03,-1.37,1.66E-03
ARHGEF5L,445328,-0.69,1.57E-03,-2.02,2.55E-03
LRRN1,57633,-0.69,6.20E-04,-1.68,2.54E-03
THBS2,7058,-0.69,6.04E-04,-1.70,2.04E-03
PADI2,11240,-0.69,1.59E-04,-2.10,2.76E-03
ITGB8,3696,-0.69,5.58E-04,-1.35,1.66E-03
HK2,3099,-0.69,1.43E-03,-1.61,1.47E-03
FMO2,2327,-0.69,3.05E-04,-1.92,2.44E-03
EPB41L3,23136,-0.69,5.99E-04,-1.67,2.87E-03
CHODL,140578,-0.68,1.97E-04,-3.07,8.66E-04
HSPB1,3315,-0.68,1.57E-03,-1.35,2.99E-03
KRT18P19,3875,-0.68,1.95E-03,-1.96,1.76E-03
NXN,64359,-0.68,9.13E-04,-1.54,1.76E-03
REEP3,221035,-0.68,1.17E-04,-1.52,4.60E-04
CD74,972,-0.68,7.90E-04,-1.66,1.84E-03
TSPAN8,7103,-0.68,4.60E-04,-3.21,2.28E-03
GLTP,51228,-0.68,4.47E-04,-1.70,1.65E-03
KRTAP19-2,337969,-0.68,1.14E-03,-1.49,9.95E-04
SLC22A4,6583,-0.68,2.57E-04,-1.38,4.68E-04
NEAT1,283131,-0.68,1.09E-04,-1.74,6.04E-04
NRP2,8828,-0.68,1.21E-03,-1.82,2.77E-03
C17orf72,92340,-0.67,1.69E-03,-1.52,1.52E-03
NAPSB,256236,-0.67,1.02E-03,-1.62,1.35E-03
GATA3,2625,-0.67,4.73E-04,-2.90,1.93E-03
CIITA,4261,-0.67,1.36E-03,-1.89,1.20E-03
CIRBP-AS1,148046,-0.67,9.76E-04,-1.83,2.77E-03
SERPINA1,5265,-0.67,4.45E-03,-1.49,1.60E-03
CYP11A1,1583,-0.67,1.71E-03,-1.40,7.56E-04
ELOVL7,79993,-0.67,7.23E-04,-1.35,1.43E-03
CFC1,55997,-0.67,2.69E-04,-2.07,1.87E-03
NECAP2,55707,-0.67,4.83E-04,-1.44,1.95E-03
LOC100131754,100131754,-0.67,1.53E-04,-1.36,2.56E-03
POU4F1,5457,-0.67,1.09E-04,-3.72,7.35E-04
PCDH12,51294,-0.67,5.83E-04,-2.39,1.43E-03
PTRF,284119,-0.67,5.62E-04,-1.67,2.33E-03
SYT15,83849,-0.67,2.81E-03,-1.75,2.70E-03
EPSTI1,94240,-0.67,7.46E-04,-1.57,7.60E-04
OXTR,5021,-0.67,2.08E-04,-1.72,1.81E-03
SULT1C4,27233,-0.67,4.97E-04,-1.38,2.19E-03
NCAPG,64151,-0.67,5.39E-04,-2.47,9.73E-04
RFTN2,130132,-0.67,4.50E-04,-1.39,2.71E-03
COL4A4,1286,-0.67,3.20E-04,-1.80,1.25E-03
FOXL2,668,-0.67,2.71E-04,-1.38,1.66E-03
PARP9,83666,-0.67,5.58E-04,-1.62,2.40E-03
NTRK1,4914,-0.67,1.09E-04,-2.99,2.10E-03
UGT8,7368,-0.67,1.79E-04,-2.35,2.70E-03
CTD-2536I1.1,400456,-0.67,2.38E-03,-2.48,1.90E-03
ARHGAP19,84986,-0.67,3.67E-04,-1.51,1.31E-03
CXCL6,6372,-0.67,2.60E-03,-1.48,1.87E-03
FMNL2,114793,-0.66,1.43E-03,-1.51,2.63E-03
SOX2-OT,347689,-0.66,6.21E-04,-2.04,2.85E-03
PDE5A,8654,-0.66,5.39E-04,-1.75,2.51E-03
SEMA3C,10512,-0.66,8.27E-04,-1.91,1.97E-03
PLD1,5337,-0.66,2.12E-04,-1.81,1.94E-03
NET1,10276,-0.66,1.18E-03,-1.35,2.47E-03
CARD10,29775,-0.66,7.22E-04,-1.41,2.56E-03
FAM7A3,89837,-0.66,1.01E-03,-1.77,2.44E-03
CDR1,1038,-0.66,7.31E-04,-1.36,1.52E-03
CLIC4,25932,-0.66,1.53E-04,-1.52,1.74E-03
ID4,3400,-0.66,1.71E-04,-1.48,1.97E-03
SLC35F4,341880,-0.66,3.91E-04,-2.05,1.53E-03
MYBL1,4603,-0.66,1.51E-03,-1.39,6.45E-04
PDCD6,57491,0.66,2.30E-03,1.74,2.72E-03
AC099797.1,731220,0.66,6.22E-04,1.60,3.02E-03
C2orf80,389073,0.66,1.29E-04,1.63,1.62E-03
MIR31HG,554202,0.66,8.31E-04,1.52,2.05E-03
PTHLH,5744,0.66,7.00E-04,1.70,4.34E-04
PTPRR,5801,0.66,6.69E-04,2.11,2.26E-03
PPAPR5,163404,0.66,3.12E-04,1.96,1.39E-03
SH2D3C,10044,0.67,1.78E-03,1.48,2.64E-03
PICK1,9463,0.67,1.83E-03,1.39,2.81E-03
GAP43,2596,0.67,3.43E-04,1.79,4.45E-04
CHCHD6,84303,0.67,1.98E-04,1.34,2.71E-03
MMD,23531,0.67,7.34E-04,1.63,9.76E-04
BMPER,168667,0.67,2.23E-04,1.52,1.56E-03
CIT,11113,0.67,2.25E-03,1.36,2.99E-03
FADS3,3995,0.67,1.73E-03,1.65,2.89E-03
GABRG3,2567,0.67,6.68E-04,1.58,1.35E-03
PCSK1,5122,0.67,2.72E-04,2.47,1.74E-03
GAD1,2571,0.67,6.01E-04,2.48,1.60E-03
KCNC2,3747,0.67,2.66E-04,2.43,6.45E-04
HPCAL4,51440,0.67,3.02E-04,1.85,7.35E-04
CELF3,11189,0.67,2.44E-03,1.61,6.18E-04
GPR21,2844,0.67,1.64E-03,1.35,2.79E-03
NUDT14,256281,0.67,7.68E-04,1.37,2.21E-03
SOSTDC1,25928,0.67,3.43E-04,2.49,1.16E-03
KCNJ8,3764,0.67,2.18E-03,1.46,2.53E-03
SYNPR,132204,0.67,1.09E-04,2.96,4.48E-04
